threshold,n_high,coverage,accuracy,micro_precision,micro_recall,micro_f1,weighted_precision,weighted_recall,weighted_f1,macro_precision,macro_recall,macro_f1
0.77,690162,0.9938181739637557,0.9277300112147583,0.9277300112147583,0.9277300112147583,0.9277300112147583,0.9275177648269572,0.9277300112147583,0.9274335995024212,0.8798468887991971,0.7966319355898832,0.8274023042871922
0.78,688968,0.9920988400976305,0.9284886961368307,0.9284886961368307,0.9284886961368307,0.9284886961368307,0.9282748569969097,0.9284886961368307,0.9281978079516032,0.8783976761402414,0.7967629139644445,0.8273515910453035
0.79,687355,0.9897761554024379,0.9295662357879116,0.9295662357879116,0.9295662357879116,0.9295662357879116,0.929354129529928,0.9295662357879116,0.9292832953468699,0.8790188565462306,0.7989837811569658,0.8291471356596763
0.8,685268,0.9867709210819996,0.9308095518833508,0.9308095518833508,0.9308095518833508,0.9308095518833508,0.9305888237181075,0.9308095518833508,0.9305312368992255,0.873023431883762,0.7979270284663618,0.8273162136443535
0.81,682904,0.983366812824445,0.9322291273736865,0.9322291273736865,0.9322291273736865,0.9322291273736865,0.932013266402787,0.9322291273736865,0.9319586474830742,0.874263653473784,0.7987763437299349,0.8282990183710262
0.82,680279,0.9795868702795717,0.9336904417158254,0.9336904417158254,0.9336904417158254,0.9336904417158254,0.9334886250257436,0.9336904417158254,0.9334309500929646,0.8756102656776618,0.7999578577537628,0.8295943515302739
0.83,677170,0.9751099783283295,0.9353352924671796,0.9353352924671796,0.9353352924671796,0.9353352924671796,0.9351367314919649,0.9353352924671796,0.9350834779142712,0.8767378075823778,0.8023420312771136,0.8317210425008411
0.84,673462,0.9697705394877998,0.9373164335923927,0.9373164335923927,0.9373164335923927,0.9373164335923927,0.9371232997173464,0.9373164335923927,0.9370740844156356,0.8787920968047278,0.8046971317091699,0.8341155481113706
0.85,668899,0.9631999193612257,0.9395917769349333,0.9395917769349333,0.9395917769349333,0.9395917769349333,0.9394052819966897,0.9395917769349333,0.9393584233398549,0.8803566253720986,0.8060181199450931,0.8354302674591597
0.86,662504,0.9539912593328581,0.942975438638861,0.942975438638861,0.942975438638861,0.942975438638861,0.94279162933209,0.942975438638861,0.9427500016708367,0.8829304561357476,0.8099408763184174,0.8388429982061614
0.87,650469,0.9366611227509342,0.949544098181466,0.949544098181466,0.949544098181466,0.949544098181466,0.9493454685273199,0.949544098181466,0.9493235372575537,0.8881930143961475,0.8191009396567523,0.8463684827489009
0.88,641133,0.9232174870941962,0.9539565113634768,0.9539565113634768,0.9539565113634768,0.9539565113634768,0.9537616509258442,0.9539565113634768,0.9537468188771785,0.8926211425144895,0.8250736782655318,0.8515662361097993
0.89,632604,0.9109359137741107,0.9576986550828006,0.9576986550828006,0.9576986550828006,0.9576986550828006,0.9575227057192441,0.9576986550828006,0.9575026044054182,0.8997666385346216,0.8300828575465525,0.8563877658211075
0.9,624233,0.8988818569957736,0.9608111073909902,0.9608111073909902,0.9608111073909902,0.9608111073909902,0.9606472808401252,0.9608111073909902,0.9606290899908874,0.9029581566314493,0.8394860838782908,0.8638082704117891
0.91,615484,0.8862834884909749,0.9637910977377153,0.9637910977377153,0.9637910977377153,0.9637910977377153,0.9636378782544693,0.9637910977377153,0.9636172541770545,0.9049044883249909,0.8420407510234524,0.8658543202180106
0.92,606077,0.8727376143882613,0.9667055506148559,0.9667055506148559,0.9667055506148559,0.9667055506148559,0.9665677416647326,0.9667055506148559,0.9665491453485083,0.9066754393305653,0.8473225244114738,0.8699739829980228
0.93,595910,0.8580973569201749,0.9696346763773053,0.9696346763773053,0.9696346763773053,0.9696346763773053,0.9694991570842338,0.9696346763773053,0.9694875508641415,0.9096273733307827,0.8513352972826661,0.8735684028151582
0.94,584770,0.8420560007487886,0.972491748892727,0.972491748892727,0.972491748892727,0.972491748892727,0.9723795837022722,0.972491748892727,0.9723582826741286,0.9151043403968774,0.8547037265880423,0.8774572176746537
0.95,571301,0.8226609355537796,0.9754070096148966,0.9754070096148966,0.9754070096148966,0.9754070096148966,0.975316732142227,0.9754070096148966,0.9752863048511471,0.9209409363166557,0.8590607818275264,0.8812366352895477
0.96,554793,0.7988897768753915,0.978386533355684,0.978386533355684,0.978386533355684,0.978386533355684,0.978301316755259,0.978386533355684,0.9782795373931938,0.9181295715809126,0.8636217983987347,0.8831839690354177
0.97,533444,0.7681476841552008,0.9815125861383763,0.9815125861383763,0.9815125861383763,0.9815125861383763,0.981442057824751,0.9815125861383763,0.98141860227524,0.922737439553083,0.8713889346487771,0.8892861817079526
0.98,502669,0.7238323577481622,0.9850557722875292,0.9850557722875292,0.9850557722875292,0.9850557722875292,0.985000515388027,0.9850557722875292,0.9849801096985543,0.9370783380544183,0.8866569749860024,0.9044040539893623
0.99,447073,0.6437753346149139,0.9891561333384034,0.9891561333384034,0.9891561333384034,0.9891561333384034,0.9891214120558018,0.9891561333384034,0.9890992959490776,0.9451520560993718,0.8980458033248704,0.9150986441810285
